"GEE_WRS_tile","Atmos_ARD_tile","DATE","h","v","PATH","ROW"
"LE07_040026_20210504",NA,20210504,"010","002",40,26
"LE07_040026_20210605",NA,20210605,"010","002",40,26
"LE07_040026_20210621",NA,20210621,"010","002",40,26
"LE07_040026_20210707",NA,20210707,"010","002",40,26
"LE07_040026_20210723",NA,20210723,"010","002",40,26
"LE07_040026_20210824",NA,20210824,"010","002",40,26
"LE07_040026_20210909",NA,20210909,"010","002",40,26
"LE07_040026_20210925",NA,20210925,"010","002",40,26
"LE07_040026_20211011",NA,20211011,"010","002",40,26
"LE07_040026_20211027",NA,20211027,"010","002",40,26
"LE07_040026_20211128",NA,20211128,"010","002",40,26
"LE07_040026_20220304",NA,20220304,"010","002",40,26
"LE07_040026_20220320",NA,20220320,"010","002",40,26
"LE07_040026_20220405",NA,20220405,"010","002",40,26
"LE07_038029_20220101",NA,20220101,"010","005",38,29
"LE07_036033_20220324",NA,20220324,"010","010",36,33
"LE07_036026_20201215",NA,20201215,"011","001",36,26
"LE07_035029_20211227",NA,20211227,"011","005",35,29
"LE07_036026_20201215",NA,20201215,"012","002",36,26
"LE07_035026_20210109",NA,20210109,"012","002",35,26
"LE07_035026_20210109",NA,20210109,"012","003",35,26
"LE07_036028_20190722",NA,20190722,"012","005",36,28
"LE07_036028_20191111",NA,20191111,"012","005",36,28
"LE07_036028_20191127",NA,20191127,"012","005",36,28
"LE07_036028_20191229",NA,20191229,"012","005",36,28
"LE07_036028_20200215",NA,20200215,"012","005",36,28
"LE07_036028_20200302",NA,20200302,"012","005",36,28
"LE07_036028_20200403",NA,20200403,"012","005",36,28
"LE07_036028_20200505",NA,20200505,"012","005",36,28
"LE07_036028_20200521",NA,20200521,"012","005",36,28
"LE07_036028_20200606",NA,20200606,"012","005",36,28
"LE07_036028_20200622",NA,20200622,"012","005",36,28
"LE07_036028_20200708",NA,20200708,"012","005",36,28
"LE07_036028_20200724",NA,20200724,"012","005",36,28
"LE07_036028_20200809",NA,20200809,"012","005",36,28
"LE07_036028_20200825",NA,20200825,"012","005",36,28
"LE07_036028_20200910",NA,20200910,"012","005",36,28
"LE07_036028_20200926",NA,20200926,"012","005",36,28
"LE07_036028_20201012",NA,20201012,"012","005",36,28
"LE07_036028_20201028",NA,20201028,"012","005",36,28
"LE07_036028_20201113",NA,20201113,"012","005",36,28
"LE07_036028_20201129",NA,20201129,"012","005",36,28
"LE07_036028_20201215",NA,20201215,"012","005",36,28
"LE07_036028_20201231",NA,20201231,"012","005",36,28
"LE07_036028_20210116",NA,20210116,"012","005",36,28
"LE07_036028_20210201",NA,20210201,"012","005",36,28
"LE07_036028_20210217",NA,20210217,"012","005",36,28
"LE07_036028_20210305",NA,20210305,"012","005",36,28
"LE07_036028_20210321",NA,20210321,"012","005",36,28
"LE07_036028_20210422",NA,20210422,"012","005",36,28
"LE07_036028_20210508",NA,20210508,"012","005",36,28
"LE07_036028_20210524",NA,20210524,"012","005",36,28
"LE07_036028_20210609",NA,20210609,"012","005",36,28
"LE07_036028_20210625",NA,20210625,"012","005",36,28
"LE07_036028_20210711",NA,20210711,"012","005",36,28
"LE07_036028_20210727",NA,20210727,"012","005",36,28
"LE07_036028_20210812",NA,20210812,"012","005",36,28
"LE07_036028_20210828",NA,20210828,"012","005",36,28
"LE07_036028_20210913",NA,20210913,"012","005",36,28
"LE07_036028_20210929",NA,20210929,"012","005",36,28
"LE07_036028_20211015",NA,20211015,"012","005",36,28
"LE07_036028_20211031",NA,20211031,"012","005",36,28
"LE07_036028_20211116",NA,20211116,"012","005",36,28
"LE07_036028_20211202",NA,20211202,"012","005",36,28
"LE07_035029_20211227",NA,20211227,"012","005",35,29
"LE07_036028_20220119",NA,20220119,"012","005",36,28
"LE07_036028_20220204",NA,20220204,"012","005",36,28
"LE07_036028_20220220",NA,20220220,"012","005",36,28
"LE07_036028_20220324",NA,20220324,"012","005",36,28
"LE07_035030_20220402",NA,20220402,"012","007",35,30
"LE07_036026_20201215",NA,20201215,"013","002",36,26
"LE07_035026_20210109",NA,20210109,"013","002",35,26
"LE07_036026_20210217",NA,20210217,"013","002",36,26
